HOG	OG	Gene Tree Parent Clade	Bacillus_subtilis_aa	Deinococcus_radiodurans_aa	Rhodococcus_erythropolis_aa
N0.HOG0000000	OG0000000	n0			ALU72144.1, ALU68423.1, ALU73499.1, ALU69437.1, ALU72899.1, ALU70741.1, ALU72958.1, ALU73109.1, ALU72903.1, ALU70737.1, ALU72148.1, ALU72954.1, ALU73105.1, ALU72147.1, ALU70738.1, ALU72902.1, ALU72955.1, ALU73106.1, ALU73107.1, ALU72956.1, ALU72146.1, ALU70739.1, ALU72901.1, ALU73108.1, ALU72957.1, ALU72145.1, ALU70740.1, ALU72900.1, ALU70736.1, ALU72904.1, ALU72149.1, ALU73104.1, ALU72953.1
N0.HOG0000001	OG0000001	n0			ALU70336.1, ALU69501.1, ALU67887.1, ALU68443.1, ALU73420.1, ALU72665.1, ALU70365.1, ALU72997.1, ALU69267.1, ALU73434.1, ALU68903.1, ALU73428.1, ALU71821.1, ALU68302.1, ALU68633.1, ALU72059.1, ALU67757.1, ALU68741.1, ALU67771.1, ALU70223.1, ALU71815.1, ALU69706.1, ALU68501.1
N0.HOG0000002	OG0000002	n0			ALU69547.1, ALU69140.1, ALU72934.1, ALU72213.1, ALU69061.1, ALU68794.1, ALU69907.1, ALU69135.1, ALU73393.1, ALU69330.1, ALU69542.1, ALU68305.1, ALU72751.1, ALU68056.1, ALU68004.1, ALU73724.1, ALU69716.1, ALU72930.1, ALU68725.1, ALU69684.1, ALU68621.1, ALU67797.1, ALU72402.1
N0.HOG0000003	OG0000003	n1	CAX52610.1, CAB13251.1	UDL00643.1	ALU71496.1
N0.HOG0000004	OG0000003	n6	CAB14758.1, CAB13014.1, CAB14053.2		ALU71022.1, ALU69919.1, ALU73632.1, ALU73298.1
N0.HOG0000005	OG0000003	n12	CAB15224.2	UDK99778.1, UDL01313.1, UDL00011.1	ALU69713.1, ALU68048.1, ALU69753.1, ALU72626.1
N0.HOG0000006	OG0000004	n0			ALU70462.1, ALU70666.1, ALU68529.1, ALU67822.1, ALU69324.1, ALU71782.1, ALU73068.1, ALU72361.1, ALU69181.1, ALU72071.1, ALU70713.1, ALU68612.1, ALU72448.1, ALU68125.1, ALU68364.1, ALU69834.1, ALU71649.1, ALU68273.1, ALU68664.1, ALU72861.1
N0.HOG0000007	OG0000005	n1	CAB14583.1	UDL00019.1, UDL01758.1	ALU69678.1, ALU72813.1, ALU69649.1
N0.HOG0000008	OG0000005	n8	CAB14870.1, CAB14243.1, CAB16077.1		ALU72250.1
N0.HOG0000009	OG0000005	n11	CAB12184.1, CAB13183.1	UDL01691.1, UDK99912.1	ALU71944.1, ALU72876.1, ALU72847.1
N0.HOG0000010	OG0000006	n0	CAB12923.1, CAB15608.1, CAB14129.1, CAB14952.1, CAB13094.1, CAB16124.1, CAB13260.1, CAB12896.1	UDL01507.1	ALU73583.1, ALU68954.1, ALU69347.1, ALU73437.1, ALU71855.1, ALU73425.1, ALU71126.1, ALU73077.1
N0.HOG0000011	OG0000007	n0	CAB12873.2, CAB12581.1, CAB15338.1, CAB15997.2, CAB12191.1, CAB11939.1, CAB12673.1	UDL02249.1	ALU71610.1, ALU72825.1, ALU72850.1, ALU67788.1, ALU71611.1, ALU72838.1, ALU68508.1, ALU71341.1
N0.HOG0000012	OG0000008	n0	CAB12828.3	UDL01516.1	ALU71603.1, ALU72124.1, ALU72893.1, ALU71012.1, ALU71440.1, ALU73318.1, ALU68749.1, ALU69911.1, ALU69012.1, ALU69031.1, ALU69301.1, ALU68689.1, ALU71546.1, ALU73132.1
N0.HOG0000013	OG0000009	n0			ALU69281.1, ALU68710.1, ALU69892.1, ALU69659.1, ALU69318.1, ALU73056.1, ALU68870.1, ALU68200.1, ALU70679.1, ALU73771.1, ALU67659.1, ALU68513.1, ALU70970.1, ALU73651.1, ALU68527.1
N0.HOG0000014	OG0000010	n0			ALU73072.1, ALU69148.1, ALU67840.1, ALU72909.1, ALU73528.1, ALU69284.1, ALU69198.1, ALU70088.1, ALU73074.1, ALU69126.1, ALU68076.1, ALU67841.1, ALU68754.1, ALU72976.1, ALU72973.1
N0.HOG0000015	OG0000011	n0			ALU67931.1, ALU71029.1, ALU72339.1, ALU72338.1, ALU70717.1, ALU69968.1, ALU72038.1, ALU72406.1, ALU70105.1, ALU69969.1, ALU68020.1, ALU68007.1, ALU70507.1, ALU68008.1, ALU68829.1
N0.HOG0000016	OG0000012	n0			ALU68937.1, ALU71118.1, ALU68071.1, ALU72852.1, ALU69844.1, ALU68835.1, ALU68779.1, ALU72834.1, ALU72763.1, ALU72966.1, ALU68933.1, ALU69843.1, ALU68540.1, ALU73180.1, ALU69493.1
N0.HOG0000017	OG0000013	n1	CAB13403.1	UDL00563.1	
N0.HOG0000018	OG0000013	n6	CAB15866.1, CAB12870.2		
N0.HOG0000019	OG0000013	n9	CAB12917.1	UDL02088.1	
N0.HOG0000020	OG0000013	n10	CAB15509.1	UDL00990.1	
N0.HOG0000021	OG0000013	n11	CAB15835.1	UDK99975.1, UDL01344.1	
N0.HOG0000022	OG0000014	n0	CAB12879.1		ALU72504.1, ALU73691.1, ALU69266.1, ALU69860.1, ALU70719.1, ALU73043.1, ALU69496.1, ALU73429.1, ALU70745.1, ALU69123.1, ALU72627.1, ALU71143.1, ALU73044.1
N0.HOG0000023	OG0000015	n2	CAB11929.1	UDL00500.1	
N0.HOG0000024	OG0000015	n3	CAB14350.2, CAB15579.1, CAB13625.2, CAB14717.1	UDL01775.1, UDL00718.1	ALU67854.1
N0.HOG0000025	OG0000015	n9	CAB15692.1, CAB15580.1	UDK99753.1	ALU68019.1
N0.HOG0000026	OG0000016	n1	CAB15369.1	UDK99957.1, UDL01734.1	ALU72283.1, ALU72809.1, ALU72255.1, ALU73629.1, ALU69351.1, ALU68677.1
N0.HOG0000027	OG0000016	n9	CAB12447.1, CAB12930.1		ALU73496.1, ALU70497.1
